MP,FG%,3P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
31.53,0.667,0.5,1.0,1.0,3.0,4.0,4.0,3.0,0.0,2.0,0.0,27.0
27.58,0.5,0.5,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,11.0
26.15,0.4,0.2,1.0,1.0,6.0,7.0,3.0,1.0,1.0,1.0,2.0,15.0
23.26,0.5,0.0,0.0,0.0,7.0,7.0,2.0,0.0,1.0,3.0,2.0,8.0
13.56,0.0,0.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
29.4,0.25,0.14300000000000002,0.5,1.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,8.0
27.17,0.75,1.0,1.0,2.0,3.0,5.0,5.0,3.0,1.0,3.0,1.0,18.0
21.43,0.5379999999999999,0.4,1.0,2.0,3.0,5.0,0.0,1.0,0.0,2.0,3.0,18.0
21.09,0.0,0.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0
13.18,0.4,0.0,0.25,1.0,3.0,4.0,0.0,1.0,0.0,2.0,2.0,5.0
3.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
26.12,0.5,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,20.0
25.27,0.2,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0
24.14,0.444,0.5,0.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,2.0,12.0
23.1,0.2,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,1.0,0.0,2.0
21.38,0.6,0.0,0.25,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0
32.56,0.1,0.0,0.8,0.0,7.0,7.0,0.0,0.0,1.0,2.0,3.0,6.0
25.46,0.375,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,4.0,2.0,6.0
20.32,0.5,0.667,0.75,0.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,11.0
14.43,0.6,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,4.0,10.0
11.06,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,5.0,12.0
5.26,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0
4.43,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
