"","AST","BLK","MP","PF","PTS","STL","TOV","TRB","TPP","FGP","FTP"
"337",0.1,0,0.37604748603352,0.333333333333333,0.0526315789473684,0.125,0.1,0.166666666666667,0,0.25,0.25
"338",0,0.0909090909090909,0.317388268156425,0.166666666666667,0.105263157894737,0.125,0.1,0.0333333333333333,0,0.4,1
"341",0,0,0.00523743016759777,0,0,0,0,0,0,0,0
"342",0.05,0.0909090909090909,0.71875,0.333333333333333,0.385964912280702,0,0.4,0.333333333333333,0.25,0.667,0.5
"344",0.05,0,0.444832402234637,0.333333333333333,0.105263157894737,0.125,0.2,0.1,0,0.429,0
"345",0,0,0.443261173184358,0.166666666666667,0.12280701754386,0.125,0.2,0.333333333333333,0,0.429,0.5
"346",0.2,0,0.422486033519553,0.5,0.175438596491228,0,0.3,0.1,0,0.417,0
"347",0,0.181818181818182,0.386173184357542,0.333333333333333,0.087719298245614,0,0.4,0.3,0,0.667,0.5
"348",0.05,0,0.338687150837989,0.5,0.228070175438596,0.125,0.2,0.0666666666666667,0.5,0.3,1
"349",0,0,0.28788407821229,0.333333333333333,0.192982456140351,0,0,0.0333333333333333,0.6,0.5,1
"350",0.05,0,0.263966480446927,0,0.0701754385964912,0,0,0.133333333333333,0,0.25,0.333
"354",0.05,0,0.596543296089385,0.333333333333333,0.385964912280702,0.125,0.1,0.233333333333333,0,0.5,0.75
"356",0,0.0909090909090909,0.23411312849162,0.333333333333333,0,0.375,0,0.133333333333333,0,0,0
"357",0.05,0.181818181818182,0.46054469273743,0.166666666666667,0.087719298245614,0.125,0.2,0.1,0.333,0.333,0
"359",0,0.0909090909090909,0.228351955307263,0.166666666666667,0.0701754385964912,0,0,0.0333333333333333,0,0.5,0
"360",0.1,0,0.181738826815642,0.166666666666667,0,0,0,0.1,0,0,0
"361",0,0,0.0940991620111732,0,0.0526315789473684,0,0,0,0,0,0.75
"362",0,0,0.0726256983240224,0.166666666666667,0,0,0,0,0,0,0
"363",0.05,0,0.456529329608938,0,0.192982456140351,0.125,0,0.0666666666666667,0.333,0.364,1
"364",0.05,0.0909090909090909,0.423184357541899,0.166666666666667,0.140350877192982,0.125,0,0.133333333333333,0,0.667,0
"365",0.15,0,0.42108938547486,0.166666666666667,0.228070175438596,0,0.2,0.1,0.75,0.714,0
"366",0.15,0,0.376920391061453,0.166666666666667,0.245614035087719,0.25,0.1,0.3,0.5,0.333,0.857
"368",0.25,0,0.474336592178771,0.166666666666667,0.298245614035088,0.5,0.1,0.1,0.6,0.556,1
"370",0.05,0.0909090909090909,0.37447625698324,0.666666666666667,0.087719298245614,0,0,0.1,0.5,0.2,0
"371",0.05,0,0.369587988826816,0.666666666666667,0.228070175438596,0,0.3,0.366666666666667,0,0.625,1
"372",0,0.0909090909090909,0.337639664804469,0.166666666666667,0.210526315789474,0.125,0.1,0.0666666666666667,0,0.5,1
"373",0.05,0,0.109462290502793,0.166666666666667,0.0350877192982456,0,0,0.133333333333333,0,0.5,0
"375",0,0.0909090909090909,0.429120111731844,0.333333333333333,0.192982456140351,0.125,0,0.2,0,0.5,0.75
"377",0,0,0.407995810055866,0.333333333333333,0,0.125,0.4,0.1,0,0,0
"378",0,0.0909090909090909,0.266236033519553,0.333333333333333,0,0,0,0.1,0,0,0
"380",0.05,0.0909090909090909,0.479050279329609,0,0.298245614035088,0.125,0,0.1,0,0.417,0.875
"381",0,0,0.369587988826816,0.166666666666667,0.0350877192982456,0,0,0.1,0,0.25,0
"382",0.05,0,0.351780726256983,0.833333333333333,0.0526315789473684,0,0.2,0.0666666666666667,0.25,0.167,0
